Chi0n,HallKierAlpha,Chi0,BCUT2D_CHGHI,EState_VSA10,Target feature,Kappa1,AvgIpc,SMR_VSA4,fr_allylic_oxid,fr_amide,BCUT2D_LOGPHI,BCUT2D_CHGLO,SlogP_VSA5,Chi4n,VSA_EState7,Chi0v,fr_Ar_NH,NumSaturatedHeterocycles,FpDensityMorgan3,Chi1n,PEOE_VSA1,EState_VSA8,fr_ketone,Chi3v,Chi2v,Chi4v,BalabanJ,VSA_EState4,BCUT2D_MRLOW,BCUT2D_MWLOW,BCUT2D_LOGPLOW,VSA_EState5,EState_VSA7,EState_VSA3,MolLogP,VSA_EState8,NumValenceElectrons,MinAbsPartialCharge,EState_VSA2,Target Feature
19.53440910361774,-0.66,20.20889601337017,2.600532088113167,0.0,1,20.60624687294816,3.150502892205044,43.48058343518124,0,0,2.644697757474545,-2.343082085132494,105.7506394274039,7.340246526019462,13.25822336932681,19.53440910361774,0,0,1.321428571428571,12.20422612095181,0.0,41.54242319814374,0,10.69599066122574,12.05807752336798,7.340246526019462,1.164037575501787,4.807589192862531,0.193480759150443,9.700469635810666,-2.322229234053284,1.764908477578238,0.0,21.65996187758712,7.121200000000009,16.98108651648622,158,0.03884365429851114,0.0,0.7951409887051732
19.79468245099708,-0.08,20.20889601337018,2.614066470420122,0.0,0,21.16345429259501,3.150502892205044,33.49577396990991,0,0,2.658342289949484,-2.394689647839289,105.7506394274039,8.180905033985566,14.13538102269576,19.79468245099708,0,0,1.285714285714286,12.59575411272515,10.63357720801266,52.1760004061564,0,11.47309048038667,12.6485447474597,8.180905033985566,1.080362063115187,2.153503044012327,0.1203222980173243,9.689226058600022,-2.444816775724512,1.914376644091859,0.0,21.65996187758712,6.155600000000006,17.6705653555792,162,0.01288657023386288,0.0,-0.1124776434309128
23.68910964199699,-0.08,23.79468245099707,2.665273775695772,0.0,0,25.02611195742453,3.214947253123124,33.49577396990991,0,0,2.679014399768647,-2.4772026580666,105.7506394274039,10.14030341075288,14.4916192655274,23.68910964199699,0,0,1.15625,14.24900475587681,8.966061715389248,69.73311112885249,0,13.40223604416653,15.67121607458041,10.14030341075288,1.219066029523398,2.184127470091298,-0.9229015704343101,9.68129265007358,-2.565224041654418,1.930720384526508,0.0,21.65996187758712,7.129200000000009,18.2872161632852,186,0.09480154751355077,0.0,2.349877115555938
20.24151588480429,-0.66,20.91600279455672,2.600528653569801,0.0,1,21.56745408348398,3.17926985320412,43.48058343518124,0,0,2.644708711275066,-2.342884614287352,112.1714610503299,7.517023221316098,14.69543927282678,20.24151588480429,0,0,1.310344827586207,12.70422612095181,0.0,41.54242319814374,0,10.94599066122574,12.41163091396125,7.517023221316098,1.120512909778165,4.827851813732591,0.1935102089478292,9.70049715960851,-2.322030494033969,1.769975405362917,0.0,21.65996187758712,7.511300000000009,17.01201341019265,164,0.03884364519596072,0.0,0.23188337378770144
22.61767735120201,-2.22,24.63961743368831,2.602485715919116,0.0,0,23.19491726781307,3.337073624442143,43.48058343518124,0,0,2.648473252120894,-2.342009125064716,91.19425591909379,8.119075847834536,8.627310798875893,22.61767735120201,0,0,1.257142857142857,13.86882537569647,0.0,90.07335974583661,0,11.8334804888388,13.61370045294676,8.119075847834536,1.13667806407789,9.0717826238612,0.193686506552366,9.70038553581742,-2.318892629384824,1.605177804776269,0.0,10.82998093879356,9.1148,14.6923179140855,184,0.06289745878380013,10.82998093879356,2.0299173146730594
15.54914341214241,-2.09,17.65648977056288,2.592294942303743,0.0,0,16.38230541965992,2.92051309758689,21.74029171759062,0,0,2.637658457192008,-2.341882516374624,51.16057945124389,4.812877560216466,4.766280046136041,15.54914341214241,0,0,2.08,9.398008418082243,5.733667477162185,57.16941400984153,0,7.100583585903141,8.636820197918892,4.812877560216466,1.523516049715847,12.35843304181242,0.1937013120396086,9.700404399924688,-2.31885681161874,0.8065186492255949,12.13273413692322,5.41499046939678,5.778300000000005,7.291772414368499,130,0.06289745878380013,5.41499046939678,1.1771874978348635
26.77237788958126,-1.64,28.22540387131522,2.670743012800814,0.0,0,27.5259751703328,3.412805476470516,33.49577396990991,0,0,2.682798253750355,-2.469845058357347,91.19425591909379,10.86636094498406,9.374572387765228,26.77237788958126,0,0,1.153846153846154,15.91360401062148,0.0,118.2640476765454,0,14.66614960902534,16.84202661743565,10.86636094498406,1.156405779851839,7.534827179741789,0.07359663479233358,9.680919227135966,-2.570517086924708,1.766502445743767,0.0,33.74364353588304,8.840800000000005,15.32736940690484,212,0.1321598962435728,0.0,1.2766494251674152
33.61081455299528,-2.62,36.60587275993917,2.558257201437969,9.589074368143644,0,38.11525572392797,3.095616828856079,22.66579303111634,0,2,2.58593262903773,-2.54270129672399,184.077099738068,11.87261528800378,16.41501480298867,33.61081455299528,0,0,1.392156862745098,21.07069162389032,10.63357720801266,102.4216772163073,0,15.05013502432923,18.98163509484001,11.87261528800378,0.9245477374022117,8.473058000295891,-0.1391007821176213,9.49217585385057,-2.549777983204637,2.427543794831465,0.0,23.67162418464557,10.83709999999999,20.05913061783378,280,0.2257502739547918,33.47432133629013,1.4589864559360117
35.986976019393,-4.179999999999999,40.32948739907076,2.560237194207268,9.589074368143644,0,39.63696532816995,3.184153270801699,22.66579303111634,0,2,2.589584016176127,-2.542448017052229,163.0998946068319,12.4799160112827,11.28886419851416,35.986976019393,0,0,1.315789473684211,22.21342603398215,10.63357720801266,150.9526137640002,0,15.95732441519375,20.18093829669435,12.4799160112827,0.8938029516960042,12.08548694301886,-0.1333978689798444,9.492103494849209,-2.534166358902851,1.999976124989597,0.0,23.67162418464557,12.82219999999998,18.37752500961026,300,0.2301233691404194,22.64434039749657,1.6994654052284843
22.31881886047933,-2.419999999999999,24.63961743368831,2.602517443310568,0.0,1,23.00709468337336,3.337073624442143,43.48058343518124,0,0,2.64878228278003,-2.341981426347941,80.0673529356998,7.820217357111848,7.523698139305892,22.31881886047933,0,0,1.257142857142857,13.56996688497379,4.736862953800049,65.80789147199017,0,11.46169546495532,13.19389377012939,7.820217357111848,1.13667806407789,6.033338664104559,0.193686540716181,9.700415948571102,-2.318862773257647,3.240723679372919,24.26546827384644,10.82998093879356,9.3163,14.56293519803611,184,0.1270830306641318,10.82998093879356,0.8062374204665714
